iter	Passed	Remaining
0	442	21679
1	684	16424
2	939	14712
3	1180	13570
4	1420	12785
5	1662	12193
6	1907	11718
7	2151	11297
8	2390	10890
9	2630	10523
10	2865	10161
11	3105	9834
12	3344	9519
13	3583	9214
14	3822	8918
15	4062	8632
16	4300	8347
17	4538	8067
18	4773	7787
19	5009	7513
20	5234	7228
21	5455	6943
22	5688	6677
23	5937	6432
24	6169	6169
25	6391	5899
26	6615	5635
27	6853	5385
28	7075	5123
29	7310	4873
30	7532	4616
31	7755	4362
32	7977	4109
33	8212	3864
34	8434	3614
35	8658	3367
36	8907	3129
37	9136	2885
38	9358	2639
39	9583	2395
40	9806	2152
41	10028	1910
42	10253	1669
43	10475	1428
44	10699	1188
45	10921	949
46	11142	711
47	11367	473
48	11593	236
49	11815	0
